TICKS, POS-REWARD, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
20.0, 4.0, -0.5, 1.0, 2.0, 10.0, 0.0, 5.6083336
20.0, 4.0, -0.5, 1.0, 5.0, 1.0, 0.6666667, 5.558333
20.0, 4.0, -0.5, 1.0, 5.0, 2.0, 1.0, 5.816334
20.0, 4.0, -0.5, 1.0, 5.0, 5.0, 0.0, 5.605334
20.0, 4.0, -0.5, 1.0, 5.0, 10.0, 1.0, 5.5749993
20.0, 4.0, -0.5, 1.0, 10.0, 1.0, 0.33333334, 5.525001
20.0, 4.0, -0.5, 1.0, 10.0, 2.0, 0.33333334, 5.591667
20.0, 4.0, -0.5, 1.0, 10.0, 5.0, 0.6666667, 6.2083335
20.0, 4.0, -0.5, 1.0, 10.0, 10.0, 1.0, 5.558333
20.0, 4.0, -0.5, 2.0, 1.0, 1.0, 1.0, 5.572333
20.0, 4.0, -0.5, 2.0, 1.0, 2.0, 1.0, 5.6286664
20.0, 4.0, -0.5, 2.0, 1.0, 5.0, 1.0, 5.558333
20.0, 4.0, -0.5, 2.0, 1.0, 10.0, 0.33333334, 7.2450004
20.0, 4.0, -0.5, 2.0, 2.0, 1.0, 1.0, 5.848333
20.0, 4.0, -0.5, 2.0, 2.0, 2.0, 0.0, 5.5633335
20.0, 4.0, -0.5, 2.0, 2.0, 5.0, 1.0, 5.5623336
20.0, 4.0, -0.5, 2.0, 2.0, 10.0, 0.6666667, 5.7916665
20.0, 4.0, -0.5, 2.0, 5.0, 1.0, 0.6666667, 5.5750003
20.0, 4.0, -0.5, 2.0, 5.0, 2.0, 0.33333334, 5.583
20.0, 4.0, -0.5, 2.0, 5.0, 5.0, 0.0, 6.0096664
20.0, 4.0, -0.5, 2.0, 5.0, 10.0, 0.0, 5.6030006
20.0, 4.0, -0.5, 2.0, 10.0, 1.0, 1.0, 5.5416665
20.0, 4.0, -0.5, 2.0, 10.0, 2.0, 0.0, 6.06
20.0, 4.0, -0.5, 2.0, 10.0, 5.0, 0.0, 5.5750003
20.0, 4.0, -0.5, 2.0, 10.0, 10.0, 1.0, 5.5916667
20.0, 4.0, -0.5, 3.0, 1.0, 1.0, 0.33333334, 5.579333
20.0, 4.0, -0.5, 3.0, 1.0, 2.0, 0.33333334, 6.241667
20.0, 4.0, -0.5, 3.0, 1.0, 5.0, 0.33333334, 7.2079997
20.0, 4.0, -0.5, 3.0, 1.0, 10.0, 0.33333334, 5.5750003
20.0, 4.0, -0.5, 3.0, 2.0, 1.0, 0.0, 5.993667
20.0, 4.0, -0.5, 3.0, 2.0, 2.0, 0.33333334, 5.601
20.0, 4.0, -0.5, 3.0, 2.0, 5.0, 0.6666667, 5.6229997
20.0, 4.0, -0.5, 3.0, 2.0, 10.0, 0.33333334, 5.9956665
20.0, 4.0, -0.5, 3.0, 5.0, 1.0, 0.33333334, 6.2083335
20.0, 4.0, -0.5, 3.0, 5.0, 2.0, 1.0, 5.5416665
20.0, 4.0, -0.5, 3.0, 5.0, 5.0, 0.6666667, 5.5916667
20.0, 4.0, -0.5, 3.0, 5.0, 10.0, 0.0, 5.773334
20.0, 4.0, -0.5, 3.0, 10.0, 1.0, 0.6666667, 5.5416665
20.0, 4.0, -0.5, 3.0, 10.0, 2.0, 0.0, 5.5986667
20.0, 4.0, -0.5, 3.0, 10.0, 5.0, 0.6666667, 5.6259995
20.0, 4.0, -0.5, 3.0, 10.0, 10.0, 0.33333334, 6.0563335
20.0, 4.0, -0.5, 4.0, 1.0, 1.0, 0.0, 5.5516667
20.0, 4.0, -0.5, 4.0, 1.0, 2.0, 0.0, 5.5416665
20.0, 4.0, -0.5, 4.0, 1.0, 5.0, 0.0, 5.7643337
20.0, 4.0, -0.5, 4.0, 1.0, 10.0, 0.33333334, 5.5599995
20.0, 4.0, -0.5, 4.0, 2.0, 1.0, 0.6666667, 5.5923333
20.0, 4.0, -0.5, 4.0, 2.0, 2.0, 0.6666667, 5.597
20.0, 4.0, -0.5, 4.0, 2.0, 5.0, 1.0, 5.558333
20.0, 4.0, -0.5, 4.0, 2.0, 10.0, 0.33333334, 7.4979997
20.0, 4.0, -0.5, 4.0, 5.0, 1.0, 0.6666667, 5.632
20.0, 4.0, -0.5, 4.0, 5.0, 2.0, 0.6666667, 5.5416665
